date;surge
1872-03-14;30.022
1872-04-22;42.01
1872-04-25;32.009
1872-11-23;50.943
1872-11-30;61.941
1872-12-10;30.938
1872-12-20;32.935
1872-12-24;46.934
1872-12-28;31.932
1873-01-01;39.931
1873-01-04;32.93
1873-01-09;39.929
1873-01-19;77.926
1873-01-23;62.925
1873-01-26;32.924
1873-02-02;48.921
1873-02-26;34.914
1873-03-01;34.913
1873-05-17;30.889
1873-06-12;31.881
1873-11-04;30.836
1874-02-15;31.804
1874-02-27;39.8
1874-04-11;34.787
1874-11-30;33.715
1874-12-08;37.712
1874-12-11;42.711
1875-01-15;33.7
1875-01-24;42.697
1875-02-25;32.687
1875-04-05;32.675
1875-10-13;34.616
1875-11-11;70.607
1876-02-15;37.577
1876-03-09;35.57
1876-03-12;56.569
1876-03-28;34.564
1876-04-19;45.557
1876-09-30;57.506
1876-10-11;47.503
1876-11-12;44.493
1876-11-16;46.492
1876-12-01;60.487
1876-12-05;70.486
1876-12-21;51.481
1876-12-29;69.478
1877-01-01;90.478
1877-01-06;66.476
1877-01-10;39.475
1877-01-19;33.472
1877-03-25;47.452
1877-04-05;39.449
1877-04-16;33.445
1877-05-09;34.438
1877-05-14;38.436
1877-05-17;30.436
1877-05-31;40.431
1877-08-25;45.404
1877-10-14;51.389
1877-11-11;74.38
1877-11-26;35.376
1877-11-29;36.374
1878-03-29;30.337
1878-04-01;34.336
1878-04-23;35.33
1878-05-12;37.324
1878-05-15;53.323
1878-05-23;32.32
1878-06-09;36.315
1878-06-13;31.314
1878-08-26;38.291
1878-08-29;40.29
1878-10-07;34.278
1878-10-26;49.272
1878-11-24;32.263
1878-12-18;33.255
1878-12-25;30.253
1878-12-28;43.252
1879-01-01;56.251
1879-01-10;37.248
1879-01-16;40.246
1879-02-03;32.241
1879-02-07;31.239
1879-02-11;58.238
1879-02-17;42.236
1879-02-22;37.235
1879-03-26;33.225
1879-04-07;49.221
1879-04-13;37.219
1879-04-21;35.217
1879-06-03;40.203
1879-06-07;35.202
1879-06-25;30.197
1879-07-01;40.195
1879-07-16;30.19
1880-02-09;39.125
1880-02-16;74.123
1880-02-19;37.122
1880-07-26;36.073
1880-09-14;40.058
1880-10-07;46.051
1880-10-27;60.044
1880-11-18;61.038
1880-12-23;34.027
1880-12-29;41.025
1881-01-18;47.019
1881-01-29;47.015
1881-02-03;33.014
1881-03-05;48.005
1881-03-23;30.999
1881-04-01;33.996
1881-04-05;33.995
1881-04-13;31.992
1881-10-22;59.933
1881-11-21;36.924
1881-11-27;49.922
1881-12-20;52.915
1882-02-28;41.893
1882-04-13;32.879
1882-04-22;44.876
1882-04-25;31.875
1882-04-28;30.874
1882-05-25;42.866
1882-07-11;30.851
1882-07-15;33.85
1882-09-29;39.827
1882-10-21;44.82
1882-10-24;40.819
1882-10-27;43.818
1882-11-01;52.816
1882-12-07;34.805
1882-12-13;32.803
1883-01-10;45.795
1883-01-13;54.794
1883-02-01;70.788
1883-02-12;60.784
1883-03-30;35.77
1883-04-27;40.761
1883-09-02;61.722
1883-11-26;47.695
1884-01-26;54.676
1884-02-01;32.674
1884-02-15;31.67
1884-02-20;39.668
1884-03-04;39.664
1884-03-11;32.662
1884-04-04;41.655
1884-09-06;30.607
1885-02-02;47.561
1885-02-16;41.556
1885-03-05;37.551
1885-04-25;50.535
1885-05-06;33.532
1885-05-20;33.527
1885-09-10;33.492
1885-10-10;30.483
1885-11-26;39.468
1886-03-05;36.438
1886-04-28;30.421
1886-05-13;43.416
1886-10-09;40.37
1886-10-12;36.369
1886-10-15;33.368
1886-10-18;43.367
1886-12-08;34.351
1886-12-13;45.35
1886-12-16;34.349
1886-12-26;55.346
1887-01-08;36.342
1887-03-23;42.319
1887-09-01;34.268
1887-11-01;44.249
1888-03-11;38.209
1888-03-28;72.203
1888-05-17;32.188
1888-07-27;34.166
1888-11-08;30.133
1888-11-29;42.127
1888-12-21;54.12
1889-03-08;38.096
1889-03-19;35.093
1889-04-30;30.08
1889-08-19;30.046
1889-10-20;33.026
1890-01-23;45.997
1890-04-16;34.971
1890-04-25;32.968
1891-03-10;34.869
1891-10-13;55.802
1891-10-22;32.799
1892-01-16;37.772
1892-02-20;52.761
1892-03-15;36.754
1893-01-29;30.655
1893-02-21;51.648
1893-02-24;33.647
1893-02-27;34.646
1893-05-18;30.621
1893-12-13;32.556
1893-12-20;39.554
1894-04-16;42.517
1894-10-24;51.458
1894-10-27;32.457
1894-11-12;46.452
1895-01-15;44.432
1895-03-27;34.41
1895-11-05;34.341
1895-11-10;48.339
1895-11-15;34.338
1896-03-03;34.304
1896-09-25;42.24
1896-12-04;89.218
1896-12-08;54.217
1896-12-13;35.215
1897-01-06;44.208
1897-01-09;30.207
1897-02-01;33.2
1897-03-14;32.187
1897-04-01;47.182
1897-12-29;41.097
1898-05-02;37.059
1898-10-17;53.007
1898-11-25;38.995
1898-12-29;32.984
1899-02-09;34.971
1899-02-13;46.97
1899-06-20;31.93
1899-10-01;34.898
1899-12-29;73.871
1900-02-15;53.896
1900-02-19;60.894
1901-01-09;36.794
1901-01-19;32.791
1901-03-01;34.778
1901-12-12;32.689
1901-12-24;32.685
1902-06-12;30.632
1902-10-10;38.595
1902-11-08;40.586
1902-11-25;46.581
1902-11-28;41.58
1903-01-09;31.567
1903-02-27;45.552
1903-03-26;38.543
1903-05-02;37.532
1903-08-14;31.5
1903-10-11;43.482
1903-10-24;33.477
1903-10-27;46.477
1903-12-12;76.462
1903-12-15;34.461
1904-02-02;51.446
1904-02-07;39.444
1904-02-10;54.444
1904-02-16;45.442
1904-03-07;30.435
1904-12-09;32.349
1904-12-12;39.349
1905-01-17;41.338
1905-03-15;47.32
1905-04-15;30.31
1905-04-30;38.306
1905-08-03;34.276
1905-11-01;42.248
1905-11-11;38.245
1905-11-26;48.24
1905-12-28;38.23
1906-01-02;38.229
1906-01-06;32.228
1907-04-04;34.087
1907-10-18;37.026
1907-11-01;33.021
1907-12-05;37.011
1908-12-15;31.894
1909-03-06;36.869
1909-03-18;34.865
1909-12-04;30.784
1909-12-22;39.779
1910-01-28;35.767
1910-02-19;59.76
1910-11-03;35.681
1910-11-07;30.679
1910-11-13;41.677
1910-12-04;34.671
1910-12-07;70.67
1910-12-10;68.669
1910-12-15;63.668
1911-04-18;43.629
1911-10-22;37.571
1911-10-27;39.569
1911-12-07;33.557
1911-12-10;58.556
1911-12-13;51.555
1911-12-21;67.552
1912-01-08;30.547
1912-02-10;76.536
1912-02-18;39.534
1912-03-04;53.529
1912-03-08;43.528
1912-03-18;41.525
1912-03-21;36.524
1912-06-04;34.501
1912-08-05;33.481
1912-09-01;57.473
1912-09-05;60.472
1912-09-09;43.471
1912-09-30;73.464
1912-10-28;37.455
1912-12-28;30.436
1913-01-11;38.432
1913-01-15;45.431
1913-01-19;35.43
1913-01-30;36.426
1913-03-22;67.411
1913-03-29;33.408
1913-04-21;44.401
1913-04-26;41.4
1913-05-08;39.396
1913-05-30;39.389
1913-09-16;30.355
1913-10-07;39.349
1913-10-29;64.342
1913-11-02;35.341
1913-11-08;35.339
1913-11-11;45.338
1914-02-08;48.31
1914-02-12;49.309
1914-02-22;69.306
1914-03-09;33.301
1914-03-19;39.298
1914-03-22;36.297
1914-06-10;34.272
1914-07-20;30.26
1914-11-01;35.228
1914-11-15;38.223
1914-12-02;41.218
1914-12-06;41.217
1914-12-11;47.215
1914-12-14;59.214
1914-12-20;33.212
1914-12-23;30.211
1914-12-28;44.21
1915-01-03;51.208
1915-02-05;39.198
1915-02-08;34.197
1915-02-13;42.195
1915-02-17;35.194
1915-02-22;42.192
1915-03-28;30.182
1915-04-06;33.179
1915-10-31;37.115
1915-11-12;77.111
1915-12-01;30.105
1915-12-06;53.103
1915-12-27;61.097
1915-12-31;35.096
1916-02-04;50.085
1916-03-01;38.077
1916-03-13;34.073
1916-03-16;30.072
1916-03-19;35.071
1916-03-27;58.068
1916-05-06;34.056
1916-08-29;40.02
1916-10-27;53.002
1916-11-05;82.999
1916-11-19;52.995
1916-12-12;44.988
1916-12-23;77.984
1917-03-06;34.962
1917-04-02;36.954
1917-08-27;53.908
1918-01-15;31.864
1918-01-20;54.862
1918-09-09;30.79
1918-11-02;67.774
1919-01-06;72.753
1919-02-19;59.74
1919-03-23;37.73
1919-08-28;33.681
1920-03-06;39.621
1920-03-14;34.619
1920-03-31;32.614
1920-04-12;47.61
1920-04-15;52.609
1920-10-03;44.556
1920-11-24;34.54
1921-01-13;38.524
1921-02-02;33.518
1921-07-28;31.464
1922-01-29;38.406
1922-04-03;34.386
1922-04-14;49.383
1922-07-06;38.357
1922-12-21;33.305
1922-12-30;38.302
1923-02-07;47.29
1923-02-22;37.285
1923-02-26;51.284
1923-04-10;30.271
1923-10-24;30.209
1923-10-27;32.209
1924-01-08;34.186
1924-01-15;32.184
1924-02-12;51.175
1924-03-25;36.162
1924-04-27;51.152
1924-09-25;31.105
1924-10-08;45.101
1924-11-26;44.086
1924-12-27;45.076
1924-12-30;30.075
1925-01-02;43.074
1925-02-11;49.062
1925-02-26;51.057
1925-05-23;34.03
1925-05-27;30.029
1925-10-22;51.983
1925-10-26;30.982
1925-12-22;57.964
1925-12-25;33.963
1925-12-30;36.962
1926-01-23;40.954
1926-01-31;40.952
1926-02-05;33.95
1926-02-09;42.949
1926-06-12;32.911
1926-10-27;34.868
1926-11-10;50.864
1926-11-20;45.861
1927-01-29;39.839
1927-02-22;38.832
1927-02-25;34.831
1927-02-28;45.83
1927-03-23;30.823
1927-09-23;31.766
1927-12-22;66.738
1927-12-25;41.737
1928-01-29;34.726
1928-03-23;49.709
1928-03-31;48.706
1928-04-15;35.702
1928-06-08;47.685
1929-05-06;43.582
1929-11-12;30.523
1929-11-25;37.519
1929-11-30;34.518
1929-12-05;72.516
1929-12-09;47.515
1929-12-24;46.51
1929-12-29;72.509
1930-01-04;33.507
1930-01-26;39.5
1930-02-01;51.498
1930-03-16;40.485
1930-03-31;32.48
1930-04-03;42.479
1930-04-23;31.473
1930-08-03;34.441
1930-08-21;31.436
1930-09-19;40.427
1930-11-05;55.412
1930-11-22;37.407
1930-12-11;39.401
1930-12-31;37.395
1931-01-03;36.394
1931-05-29;30.348
1931-07-14;35.334
1931-08-24;55.321
1931-11-10;52.297
1932-01-06;30.279
1932-01-10;52.278
1932-01-13;30.277
1932-03-30;31.253
1932-04-03;32.252
1932-10-09;36.193
1933-03-02;35.149
1933-03-17;31.144
1933-05-07;30.128
1934-01-14;32.05
1934-03-14;38.032
1934-03-19;41.03
1934-04-11;31.023
1934-04-18;35.021
1934-10-04;36.968
1934-11-09;32.957
1934-12-09;34.948
1934-12-14;46.946
1934-12-18;35.945
1935-02-24;61.924
1935-02-27;34.923
1935-04-20;30.907
1935-09-16;36.86
1935-11-16;31.842
1935-11-19;50.841
1935-12-27;65.829
1936-01-01;51.827
1936-01-05;63.826
1936-01-09;56.825
1936-01-20;67.821
1936-01-24;43.82
1936-01-27;52.819
1936-01-31;36.818
1936-02-09;35.815
1936-02-14;36.814
1936-02-18;67.813
1936-02-22;41.811
1936-03-24;44.801
1936-07-15;30.766
1936-11-12;42.729
1936-12-14;33.719
1937-01-18;43.708
1937-01-21;42.708
1937-01-24;54.707
1937-01-28;68.705
1937-02-04;58.703
1937-02-08;48.702
1937-02-27;37.696
1937-03-03;35.695
1937-03-11;56.692
1937-03-14;45.691
1937-04-02;31.686
1937-04-10;36.683
1937-09-17;35.633
1937-10-25;55.622
1939-01-18;63.482
1939-01-25;48.48
1939-01-29;36.478
1939-02-22;31.471
1939-04-03;35.458
1939-10-13;50.398
1939-11-08;31.39
1940-03-14;47.351
1940-04-18;40.34
1940-11-13;64.275
1940-11-16;50.274
1941-01-14;32.256
1941-01-21;60.254
1941-02-16;77.246
1941-02-22;37.244
1941-02-27;30.242
1941-03-08;36.24
1941-03-28;32.233
1941-04-01;50.232
1941-05-25;33.215
1941-06-09;31.211
1941-11-10;37.163
1942-04-04;30.118
1942-05-12;31.106
1942-05-26;44.102
1942-09-24;31.064
1942-09-28;31.063
1942-10-26;33.054
1942-10-29;44.053
1942-12-10;33.04
1942-12-16;47.038
1943-01-13;70.03
1943-01-17;32.028
1943-01-20;34.027
1943-01-31;67.024
1943-03-24;43.008
1943-04-21;36.999
1943-05-10;34.993
1943-05-24;34.989
1943-10-18;35.943
1943-10-22;33.942
1944-01-23;39.913
1944-04-03;30.891
1944-04-15;32.887
1952-11-27;36.91
1953-02-10;33.887
1953-03-19;42.875
1953-04-02;36.871
1953-04-05;40.87
1954-02-13;31.773
1954-03-03;36.767
1954-03-22;40.761
1954-06-09;44.737
1954-11-26;66.684
1954-11-29;64.683
1954-12-08;56.68
1955-01-13;41.669
1955-01-16;52.668
1955-01-19;30.667
1955-02-01;57.663
1955-03-23;49.647
1955-11-03;35.578
1955-11-08;50.576
1955-11-11;43.575
1955-12-15;43.565
1956-01-10;38.556
1956-03-21;36.534
1956-03-24;44.533
1956-11-08;35.462
1956-12-30;47.446
1957-02-07;34.434
1957-02-13;39.432
1957-05-11;39.405
1957-08-09;36.377
1957-11-04;38.35
1957-12-10;83.339
1957-12-23;36.335
1958-02-11;40.32
1958-03-27;46.306
1958-06-25;32.278
1958-08-21;33.26
1958-09-30;37.248
1958-10-03;43.247
1958-12-15;59.224
1958-12-19;64.223
1959-01-14;30.215
1959-01-22;63.212
1959-03-05;48.199
1959-04-14;38.187
1959-11-19;30.119
1959-12-07;55.113
1959-12-26;38.108
1960-01-23;31.093
1960-02-18;35.085
1960-02-21;42.084
1960-02-25;50.083
1960-02-29;32.081
1960-03-09;44.079
1960-03-14;41.077
1960-04-02;37.071
1960-08-13;30.03
1960-09-29;33.015
1960-10-02;35.014
1960-10-08;60.013
1960-10-22;40.008
1960-11-01;66.005
1960-11-10;36.002
1961-01-30;34.977
1961-02-06;44.975
1961-04-25;44.951
1961-07-12;43.927
1961-07-22;39.924
1961-08-08;38.918
1961-09-03;39.91
1961-09-16;39.906
1961-10-26;35.894
1961-12-05;36.881
1961-12-26;30.875
1961-12-31;43.873
1962-01-11;43.87
1962-01-16;39.868
1962-03-30;31.846
1962-09-30;34.789
1962-11-04;39.778
1963-02-06;30.748
1963-02-14;30.746
1963-02-19;31.745
1963-03-11;61.738
1963-04-11;43.729
1963-04-20;49.726
1963-10-30;31.666
1963-11-03;33.665
1963-11-11;56.662
1963-11-17;56.66
1964-02-26;40.629
1964-03-12;30.624
1964-03-19;36.622
1964-04-21;33.612
1964-05-31;30.599
1964-08-17;31.575
1965-01-20;40.527
1965-03-03;33.514
1965-05-04;31.495
1965-11-20;45.433
1965-11-26;35.431
1965-11-29;80.43
1965-12-27;38.421
1966-01-19;42.414
1966-01-22;53.413
1966-01-25;37.412
1966-01-29;36.411
1966-02-02;32.409
1966-02-07;40.408
1966-02-12;48.406
1966-02-16;47.405
1966-02-21;78.404
1966-02-25;53.402
1966-04-09;41.389
1966-04-17;40.387
1966-05-11;31.379
1966-06-11;34.369
1966-10-02;37.334
1966-10-18;41.329
1966-11-05;32.324
1967-01-23;30.299
1967-02-15;41.292
1967-02-19;36.291
1967-02-25;33.289
1967-03-09;52.285
1967-03-12;45.284
1967-05-04;43.268
1967-05-15;32.264
1967-10-17;33.216
1967-11-04;47.211
1968-02-13;31.179
1968-02-21;31.177
1968-03-24;32.167
1968-04-16;39.16
1968-05-08;32.153
1968-07-14;33.132
1968-10-31;36.098
1968-11-06;34.096
1968-12-18;50.083
1969-01-07;51.077
1969-01-12;70.076
1969-01-17;62.074
1969-02-20;49.064
1969-03-12;40.057
1969-03-15;43.057
1969-04-22;32.045
1969-05-29;30.033
1969-06-17;40.027
1969-11-07;100.983
1969-11-12;46.981
1970-01-08;35.964
1970-01-11;54.963
1970-01-29;31.957
1970-02-12;87.953
1970-11-18;40.866
1971-01-23;61.846
1971-01-26;47.845
1971-03-17;51.829
1972-01-11;35.736
1972-01-16;38.734
1972-02-04;46.728
1972-02-13;37.726
1972-03-06;47.719
1972-11-20;30.638
1972-12-02;30.635
1972-12-27;45.627
1973-01-15;49.621
1973-01-19;32.62
1973-10-15;42.537
1973-11-04;32.53
1973-12-20;44.516
1973-12-23;33.515
1974-01-05;34.511
1974-02-01;42.503
1974-02-06;36.501
1974-02-11;56.499
1974-02-15;57.498
1974-05-03;37.474
1974-09-02;40.436
1974-11-13;43.414
1974-11-21;31.412
1975-01-14;31.395
1975-01-18;38.394
1975-03-04;33.38
1976-10-07;30.198
1976-10-11;47.197
1976-10-14;59.196
1976-10-23;33.194
1976-12-06;48.18
1977-01-01;32.172
1977-01-13;42.168
1977-01-25;47.165
1977-02-10;35.16
1977-02-14;43.158
1977-02-18;36.157
1977-02-22;46.156
1977-03-10;31.151
1977-03-13;45.15
1977-10-08;33.085
1977-12-05;41.067
1977-12-08;58.066
1978-01-27;43.051
1978-02-19;42.043
1978-02-25;71.042
1978-02-28;47.041
1978-03-16;37.036
1978-04-29;33.022
1978-12-08;31.953
1978-12-11;58.952
1978-12-23;49.948
1978-12-27;36.947
1978-12-30;43.946
1979-01-03;42.945
1979-02-01;43.936
1979-02-04;35.935
1979-02-07;31.934
1979-02-13;62.932
1979-03-25;32.919
1979-04-11;36.914
1979-05-26;33.9
1979-12-10;33.839
1979-12-15;45.837
1979-12-27;33.833
1980-02-02;30.822
1980-03-26;30.805
1980-10-10;31.744
1981-03-21;32.694
1981-03-27;33.692
1981-12-13;62.611
1981-12-20;34.609
1981-12-23;44.608
1981-12-26;37.607
1981-12-29;69.606
1982-02-12;31.592
1982-09-24;32.522
1982-10-13;30.517
1982-10-16;46.516
1982-11-08;44.508
1983-04-02;60.463
1983-04-10;30.461
1983-04-25;40.456
1983-05-12;51.451
1983-05-16;42.45
1983-10-16;35.402
1983-11-26;52.389
1983-12-18;56.383
1984-01-25;52.371
1984-03-25;41.352
1984-06-04;32.33
1984-10-04;49.292
1984-11-18;30.278
1984-11-23;52.277
1984-11-30;41.275
1985-01-17;37.26
1985-01-21;47.259
1985-01-27;43.257
1985-02-08;43.253
1985-02-12;39.252
1985-03-20;34.241
1985-03-25;30.239
1985-04-07;44.235
1985-12-25;46.154
1986-01-01;34.151
1986-03-24;38.126
1986-04-15;31.119
1986-12-08;35.046
1987-03-27;35.012
1987-04-03;34.009
1987-10-07;47.951
1987-10-15;143.949
1987-10-18;35.948
1987-11-11;36.941
1987-12-13;40.931
1988-01-06;39.923
1988-01-12;37.921
1988-01-24;37.917
1988-01-29;32.916
1988-02-01;42.915
1988-02-04;44.914
1988-05-01;37.887
1988-05-28;42.879
1988-07-03;38.867
1989-02-25;57.794
1989-04-15;35.779
1989-12-16;83.703
1989-12-20;58.702
1989-12-24;43.7
1990-01-27;50.69
1990-01-30;46.689
1990-02-03;65.688
1990-02-07;55.686
1990-02-11;33.685
1990-02-26;32.68
1990-10-28;32.605
1990-12-25;34.587
1991-01-05;32.583
1991-01-08;31.582
1991-03-08;55.564
1991-04-04;40.556
1991-09-28;52.501
1991-10-11;33.497
1991-11-03;34.489
1992-04-01;36.443
1992-04-28;38.434
1992-06-09;30.421
1992-08-30;46.396
1992-09-02;30.395
1992-11-25;62.369
1992-12-02;64.367
1992-12-06;36.365
1992-12-18;42.362
1993-04-10;30.327
1993-05-17;30.315
1993-05-29;40.312
1993-09-12;60.279
1993-09-15;33.278
1993-10-01;32.273
1993-10-05;36.272
1993-10-12;43.269
1994-01-03;54.244
1994-01-09;46.242
1994-01-12;36.241
1994-02-03;51.234
1994-02-26;44.227
1994-03-31;52.217
1994-09-13;30.165
1994-09-24;32.162
1994-10-22;39.153
1994-11-09;38.147
1994-12-08;43.138
1994-12-29;34.132
1995-01-19;40.125
1995-01-24;45.124
1995-01-28;37.122
1995-02-11;50.118
1995-02-23;31.114
1995-03-07;38.111
1995-03-10;36.11
1995-09-07;59.054
1995-10-24;45.039
1995-11-11;33.033
1995-11-15;32.032
1995-12-22;51.021
1995-12-30;44.018
1996-01-06;69.016
1996-01-11;62.014
1996-01-14;38.013
1996-02-05;38.007
1996-02-09;42.005
1996-03-13;30.995
1996-05-01;30.98
1996-11-19;50.917
1997-02-24;46.887
1997-05-05;32.866
1997-05-10;31.864
1997-06-06;34.856
1997-06-20;36.851
1997-10-08;32.817
1997-11-07;40.808
1997-12-19;36.795
1997-12-22;35.794
1997-12-25;35.793
1998-01-02;58.79
1998-01-13;47.787
1998-01-18;37.785
1998-04-03;59.762
1998-06-01;31.744
1998-09-26;36.707
1998-09-29;45.706
1998-12-30;40.678
1999-01-03;33.677
1999-01-16;33.673
1999-03-08;31.657
1999-06-02;31.63
1999-06-05;30.629
1999-08-08;34.609
1999-09-18;36.596
1999-09-22;40.595
1999-09-29;33.593
1999-10-24;45.585
1999-11-01;30.583
1999-12-24;40.566
2000-04-03;34.535
2000-04-16;44.531
2000-04-24;35.528
2000-05-27;32.518
2000-09-29;31.479
2000-10-30;66.47
2000-11-02;43.469
2000-11-05;68.468
2000-11-08;38.467
2000-11-21;46.463
2000-11-25;38.462
2000-12-01;41.46
2000-12-07;65.458
2000-12-12;51.456
2000-12-26;48.452
2000-12-31;70.45
2001-01-04;70.449
2001-01-09;38.448
2001-01-23;49.444
2001-01-26;48.443
2001-02-06;31.439
2001-02-27;31.433
2001-03-02;33.432
2001-03-06;34.431
2001-03-16;32.427
2001-03-20;36.426
2001-03-23;38.425
2001-03-28;31.424
2001-04-25;32.415
2001-05-15;30.409
2001-07-18;35.389
2001-10-02;35.365
2001-10-07;35.364
2002-01-23;54.33
2002-02-05;35.326
2002-02-26;44.32
2002-03-18;46.313
2002-05-22;45.293
2002-10-13;30.249
2002-10-22;34.246
2002-11-14;52.239
2002-11-21;48.236
2002-11-27;33.235
2002-12-21;31.227
2002-12-26;52.226
2002-12-30;42.224
2003-01-02;57.223
2003-01-07;32.222
2003-01-20;54.218
2003-04-28;34.187
2003-05-02;34.186
2003-06-30;32.168
2003-10-31;46.13
2003-12-27;38.112
2004-01-08;37.108
2004-01-12;47.107
2004-01-15;33.106
2004-01-31;41.101
2004-03-11;34.088
2004-04-02;33.082
2004-04-18;39.077
2004-04-21;30.076
2004-05-05;30.071
2004-06-22;42.057
2004-08-17;41.039
2004-10-11;31.022
2004-10-27;71.017
2005-10-29;31.903
2005-11-03;38.902
2005-12-02;51.893
2006-03-23;44.858
2006-03-27;37.857
2006-05-21;56.84
2006-09-21;45.802
